date,t,u,pres,tend24
20200101000000,276,91,101781,-1
20200101030000,276,90,101734,-48
20200101060000,276,91,101737,-20
20200101090000,276,91,101821,-38
20200101120000,278,88,101774,-60
20200101150000,278,89,101704,-47
20200101180000,277,93,101732,-48
20200101210000,276,94,101700,-105
20200102000000,276,94,101640,-141
20200102030000,276,93,101570,-164
20200102060000,276,92,101512,-224
20200102090000,277,92,101537,-284
20200102120000,280,87,101425,-348
20200102150000,280,86,101265,-438
20200102180000,279,90,101254,-478
20200102210000,280,89,101215,-484
20200103000000,281,87,101172,-467
20200103030000,280,86,101091,-478
20200103060000,279,90,101110,-402
20200103090000,280,88,101231,-305
20200103120000,282,83,101275,-150
20200103150000,283,80,101351,85
20200103180000,281,83,101538,284
20200103210000,280,86,101695,480
20200104000000,279,89,101762,590
20200104030000,278,90,101814,722
20200104060000,277,90,101898,788
20200104090000,278,88,102018,787
20200104120000,282,71,101988,712
20200104150000,282,69,101978,627
20200104180000,280,77,102041,502
20200104210000,279,80,102077,381
20200105000000,279,81,102065,302
20200105030000,278,85,102050,235
20200105060000,277,86,102055,157
20200105090000,278,86,102091,72
20200105120000,280,83,101998,10
20200105150000,280,82,101915,-62
20200105180000,278,88,101904,-137
20200105210000,277,87,101828,-248
20200106000000,276,89,101720,-345
20200106030000,275,89,101581,-468
20200106060000,275,89,101505,-550
20200106090000,276,88,101450,-641
20200106120000,281,76,101265,-732
20200106150000,282,77,101161,-754
20200106180000,279,84,101277,-627
20200106210000,278,90,101344,-484
20200107000000,278,92,101372,-347
20200107030000,278,93,101461,-120
20200107060000,278,91,101472,-32
20200107090000,280,90,101588,138
20200107120000,282,85,101535,270
20200107150000,283,82,101434,272
20200107180000,281,88,101467,190
20200107210000,280,93,101441,97
20200108000000,279,94,101411,38
20200108030000,279,93,101411,-50
20200108060000,280,92,101400,-72
20200108090000,281,89,101518,-70
20200108120000,283,82,101454,-81
20200108150000,284,84,101362,-71
20200108180000,283,87,101365,-101
20200108210000,282,88,101257,-184
20200109000000,282,85,101097,-314
20200109030000,282,84,100905,-505
20200109060000,282,84,100748,-651
20200109090000,283,79,100631,-887
20200109120000,285,73,100450,-1004
20200109150000,285,71,100240,-1122
20200109180000,283,77,100164,-1201
20200109210000,283,78,100318,-938
20200110000000,282,81,100464,-632
20200110030000,281,83,100557,-348
20200110060000,281,79,100727,-21
20200110090000,281,79,101000,368
20200110120000,282,76,101184,734
20200110150000,282,75,101331,1091
20200110180000,280,82,101561,1397
20200110210000,279,83,101721,1402
20200111000000,279,85,101797,1332
20200111030000,278,85,101802,1245
20200111060000,278,84,101807,1080
20200111090000,279,83,101848,848
20200111120000,282,67,101754,570
20200111150000,282,69,101621,290
20200111180000,279,79,101602,41
20200111210000,278,82,101545,-175
20200112000000,277,85,101444,-352
20200112030000,276,86,101380,-422
20200112060000,276,87,101354,-452
20200112090000,278,84,101398,-450
20200112120000,281,73,101357,-397
20200112150000,282,72,101282,-338
20200112180000,280,81,101322,-280
20200112210000,278,84,101298,-247
20200113000000,278,88,101205,-238
20200113030000,277,90,101058,-321
20200113060000,277,90,100898,-455
20200113090000,278,87,100794,-604
20200113120000,280,80,100558,-798
20200113150000,283,77,100271,-1011
20200113180000,281,82,100161,-1161
20200113210000,281,81,100027,-1271
20200114000000,280,81,100005,-1200
20200114030000,281,79,99898,-1160
20200114060000,281,76,99924,-974
20200114090000,282,75,99992,-801
20200114120000,285,69,99961,-597
20200114150000,285,68,99935,-335
20200114180000,284,72,100021,-140
20200114210000,283,76,100067,40
20200115000000,283,73,100091,85
20200115030000,282,73,100108,210
20200115060000,282,73,100174,250
20200115090000,282,70,100305,312
20200115120000,284,69,100462,501
20200115150000,285,67,100572,637
20200115180000,282,78,100871,850
20200115210000,281,82,101032,965
20200116000000,280,84,101131,1040
20200116030000,280,83,101118,1010
20200116060000,279,88,101084,910
20200116090000,280,86,101094,788
20200116120000,285,74,100961,498
20200116150000,286,68,100814,241
20200116180000,283,77,100792,-78
20200116210000,282,81,100728,-304
20200117000000,281,79,100654,-477
20200117030000,281,78,100607,-511
20200117060000,281,79,100608,-475
20200117090000,281,80,100691,-402
20200117120000,282,77,100742,-218
20200117150000,282,75,100772,-41
20200117180000,280,84,100974,181
20200117210000,279,84,101084,355
20200118000000,278,86,101181,527
20200118030000,277,88,101241,634
20200118060000,276,91,101285,677
20200118090000,277,89,101344,652
20200118120000,281,69,101278,535
20200118150000,281,65,101204,431
20200118180000,278,80,101298,324
20200118210000,277,81,101418,334
20200119000000,276,82,101446,313
20200119030000,275,85,101692,451
20200119060000,275,85,101834,548
20200119090000,276,79,102057,712
20200119120000,280,64,102181,902
20200119150000,280,58,102231,1027
20200119180000,278,66,102442,1144
20200119210000,277,74,102604,1185
20200120000000,276,77,102678,1115
20200120030000,275,81,102665,972
20200120060000,275,83,102718,884
20200120090000,276,80,102828,771
20200120120000,279,69,102802,621
20200120150000,280,63,102692,461
20200120180000,278,75,102690,247
20200120210000,277,76,102687,82
20200121000000,277,78,102677,-1
20200121030000,275,83,102561,-104
20200121060000,275,84,102521,-197
20200121090000,276,83,102552,-275
20200121120000,279,71,102475,-327
20200121150000,279,70,102288,-404
20200121180000,277,76,102245,-444
20200121210000,276,82,102227,-460
20200122000000,275,83,102172,-504
20200122030000,274,86,102047,-514
20200122060000,274,88,101971,-550
20200122090000,275,86,101975,-577
20200122120000,278,81,101924,-551
20200122150000,278,82,101757,-531
20200122180000,277,83,101717,-528
20200122210000,277,83,101700,-527
20200123000000,277,84,101665,-507
20200123030000,276,85,101537,-510
20200123060000,276,86,101460,-511
20200123090000,277,88,101455,-520
20200123120000,278,84,101357,-567
20200123150000,279,80,101161,-595
20200123180000,278,85,101144,-572
20200123210000,276,90,101172,-527
20200124000000,276,91,101140,-525
20200124030000,275,90,101010,-527
20200124060000,275,90,100972,-487
20200124090000,276,88,101014,-441
20200124120000,279,81,100952,-404
20200124150000,280,76,100808,-352
20200124180000,278,85,100824,-320
20200124210000,276,90,100852,-320
20200125000000,276,93,100807,-332
20200125030000,276,93,100717,-292
20200125060000,276,94,100695,-277
20200125090000,277,92,100754,-260
20200125120000,280,83,100697,-255
20200125150000,281,80,100540,-268
20200125180000,280,86,100535,-288
20200125210000,279,91,100532,-320
20200126000000,278,94,100478,-328
20200126030000,278,94,100415,-301
20200126060000,278,92,100405,-290
20200126090000,279,91,100472,-281
20200126120000,281,88,100422,-274
20200126150000,282,82,100321,-218
20200126180000,281,88,100330,-205
20200126210000,280,91,100335,-197
20200127000000,279,94,100261,-217
20200127030000,279,92,100150,-265
20200127060000,279,91,100040,-365
20200127090000,280,87,99967,-505
20200127120000,282,81,99800,-622
20200127150000,282,77,99585,-735
20200127180000,282,82,99405,-924
