start_date,end_date,updated_date,value
2020-01-02T00:00:00+01:00,2020-01-02T00:15:00+01:00,2020-01-02T23:55:00+01:00,62516
2020-01-02T00:15:00+01:00,2020-01-02T00:30:00+01:00,2020-01-02T23:55:00+01:00,62066
2020-01-02T00:30:00+01:00,2020-01-02T00:45:00+01:00,2020-01-02T23:55:00+01:00,60482
2020-01-02T00:45:00+01:00,2020-01-02T01:00:00+01:00,2020-01-02T23:55:00+01:00,59242
2020-01-02T01:00:00+01:00,2020-01-02T01:15:00+01:00,2020-01-02T23:55:00+01:00,58692
2020-01-02T01:15:00+01:00,2020-01-02T01:30:00+01:00,2020-01-02T23:55:00+01:00,58738
2020-01-02T01:30:00+01:00,2020-01-02T01:45:00+01:00,2020-01-02T23:55:00+01:00,58219
2020-01-02T01:45:00+01:00,2020-01-02T02:00:00+01:00,2020-01-02T23:55:00+01:00,58250
2020-01-02T02:00:00+01:00,2020-01-02T02:15:00+01:00,2020-01-02T23:55:00+01:00,57721
2020-01-02T02:15:00+01:00,2020-01-02T02:30:00+01:00,2020-01-02T23:55:00+01:00,58191
2020-01-02T02:30:00+01:00,2020-01-02T02:45:00+01:00,2020-01-02T23:55:00+01:00,57103
2020-01-02T02:45:00+01:00,2020-01-02T03:00:00+01:00,2020-01-02T23:55:00+01:00,56303
2020-01-02T03:00:00+01:00,2020-01-02T03:15:00+01:00,2020-01-02T23:55:00+01:00,55590
2020-01-02T03:15:00+01:00,2020-01-02T03:30:00+01:00,2020-01-02T23:55:00+01:00,55335
2020-01-02T03:30:00+01:00,2020-01-02T03:45:00+01:00,2020-01-02T23:55:00+01:00,54696
2020-01-02T03:45:00+01:00,2020-01-02T04:00:00+01:00,2020-01-02T23:55:00+01:00,54358
2020-01-02T04:00:00+01:00,2020-01-02T04:15:00+01:00,2020-01-02T23:55:00+01:00,54070
2020-01-02T04:15:00+01:00,2020-01-02T04:30:00+01:00,2020-01-02T23:55:00+01:00,54151
2020-01-02T04:30:00+01:00,2020-01-02T04:45:00+01:00,2020-01-02T23:55:00+01:00,53925
2020-01-02T04:45:00+01:00,2020-01-02T05:00:00+01:00,2020-01-02T23:55:00+01:00,54042
2020-01-02T05:00:00+01:00,2020-01-02T05:15:00+01:00,2020-01-02T23:55:00+01:00,54595
2020-01-02T05:15:00+01:00,2020-01-02T05:30:00+01:00,2020-01-02T23:55:00+01:00,55781
2020-01-02T05:30:00+01:00,2020-01-02T05:45:00+01:00,2020-01-02T23:55:00+01:00,56046
2020-01-02T05:45:00+01:00,2020-01-02T06:00:00+01:00,2020-01-02T23:55:00+01:00,56619
2020-01-02T06:00:00+01:00,2020-01-02T06:15:00+01:00,2020-01-02T23:55:00+01:00,57313
2020-01-02T06:15:00+01:00,2020-01-02T06:30:00+01:00,2020-01-02T23:55:00+01:00,59053
2020-01-02T06:30:00+01:00,2020-01-02T06:45:00+01:00,2020-01-02T23:55:00+01:00,59599
2020-01-02T06:45:00+01:00,2020-01-02T07:00:00+01:00,2020-01-02T23:55:00+01:00,60473
2020-01-02T07:00:00+01:00,2020-01-02T07:15:00+01:00,2020-01-02T23:55:00+01:00,61342
2020-01-02T07:15:00+01:00,2020-01-02T07:30:00+01:00,2020-01-02T23:55:00+01:00,62318
2020-01-02T07:30:00+01:00,2020-01-02T07:45:00+01:00,2020-01-02T23:55:00+01:00,63360
2020-01-02T07:45:00+01:00,2020-01-02T08:00:00+01:00,2020-01-02T23:55:00+01:00,64109
2020-01-02T08:00:00+01:00,2020-01-02T08:15:00+01:00,2020-01-02T23:55:00+01:00,65267
