numer_sta,date,t,u,pres,tend24
7015,20200101000000,275.250000,99,102720,230
7110,20200101000000,282.750000,99,101540,-180
7149,20200101000000,271.550000,98,102120,50
7190,20200101000000,271.550000,98,101570,70
7481,20200101000000,272.850000,100,100320,-70
7630,20200101000000,281.650000,79,101500,150
7690,20200101000000,280.350000,64,102700,-260
7015,20200101030000,274.650000,99,102570,70
7110,20200101030000,282.650000,99,101530,-160
7149,20200101030000,272.450000,99,102040,-40
7190,20200101030000,269.750000,98,101510,30
7481,20200101030000,272.250000,100,100330,-50
7630,20200101030000,281.050000,76,101450,50
7690,20200101030000,279.750000,61,102710,-240
7015,20200101060000,273.750000,98,102530,-60
7110,20200101060000,281.650000,99,101550,-100
7149,20200101060000,273.050000,99,102060,10
7190,20200101060000,271.750000,100,101480,20
7481,20200101060000,272.450000,100,100350,30
7630,20200101060000,280.350000,83,101480,120
7690,20200101060000,279.250000,60,102710,-160
7015,20200101090000,273.850000,99,102570,-200
7110,20200101090000,282.650000,100,101680,40
7149,20200101090000,273.950000,99,102120,-20
7190,20200101090000,271.650000,100,101550,-40
7481,20200101090000,272.450000,100,100400,-40
7630,20200101090000,280.650000,89,101580,80
7690,20200101090000,281.250000,54,102850,-90
7015,20200101120000,274.550000,95,102550,-240
7110,20200101120000,283.350000,93,101670,70
7149,20200101120000,275.950000,100,102030,-130
7190,20200101120000,272.150000,100,101540,-50
7481,20200101120000,272.850000,100,100400,-10
7630,20200101120000,283.750000,71,101460,-40
7690,20200101120000,286.750000,57,102770,-20
7015,20200101150000,274.950000,97,102470,-270
7110,20200101150000,283.050000,96,101630,140
7149,20200101150000,277.050000,100,101930,-170
7190,20200101150000,272.150000,100,101450,-80
7481,20200101150000,273.050000,100,100340,50
7630,20200101150000,283.450000,73,101390,-30
7690,20200101150000,287.150000,60,102720,30
7015,20200101180000,275.450000,99,102480,-200
7110,20200101180000,282.550000,96,101650,160
7149,20200101180000,277.150000,100,101930,-180
7190,20200101180000,271.650000,100,101490,-130
7481,20200101180000,272.450000,100,100390,40
7630,20200101180000,282.050000,79,101380,-130
7690,20200101180000,282.150000,81,102810,100
7015,20200101210000,275.150000,100,102420,-300
7110,20200101210000,282.350000,97,101610,80
7149,20200101210000,276.950000,100,101860,-250
7190,20200101210000,271.650000,100,101450,-220
7481,20200101210000,272.250000,100,100370,10
7630,20200101210000,278.550000,90,101350,-160
7690,20200101210000,280.850000,74,102840,100
7015,20200102000000,274.850000,100,102320,-400
7110,20200102000000,282.550000,98,101500,-40
7149,20200102000000,277.050000,100,101750,-370
7190,20200102000000,271.850000,100,101370,-200
7481,20200102000000,272.350000,100,100290,-30
7630,20200102000000,276.250000,95,101350,-150
7690,20200102000000,280.450000,68,102900,200
7015,20200102030000,274.950000,100,102180,-390
7110,20200102030000,282.250000,91,101370,-160
7149,20200102030000,277.950000,100,101650,-390
7190,20200102030000,272.550000,100,101360,-150
7481,20200102030000,273.050000,100,100250,-80
7630,20200102030000,275.350000,99,101290,-160
7690,20200102030000,279.950000,66,102890,180
7015,20200102060000,275.550000,99,102080,-450
7110,20200102060000,282.850000,83,101230,-320
7149,20200102060000,278.550000,100,101590,-470
7190,20200102060000,272.350000,100,101300,-180
7481,20200102060000,272.450000,100,100230,-120
7630,20200102060000,273.950000,99,101230,-250
7690,20200102060000,279.650000,65,102930,220
7015,20200102090000,276.050000,98,102070,-500
7110,20200102090000,282.750000,85,101220,-460
7149,20200102090000,279.950000,100,101610,-510
7190,20200102090000,272.450000,100,101320,-230
7481,20200102090000,272.550000,100,100300,-100
7630,20200102090000,276.850000,100,101210,-370
7690,20200102090000,279.850000,63,103030,180
7015,20200102120000,277.350000,99,101930,-620
7110,20200102120000,283.150000,88,101120,-550
7149,20200102120000,281.450000,99,101550,-480
7190,20200102120000,272.950000,100,101200,-340
7481,20200102120000,274.450000,97,100200,-200
7630,20200102120000,284.450000,73,101070,-390
7690,20200102120000,286.650000,58,102910,140
7015,20200102150000,278.850000,97,101700,-770
7110,20200102150000,283.450000,84,100910,-720
7149,20200102150000,281.650000,97,101390,-540
7190,20200102150000,273.150000,100,101060,-390
7481,20200102150000,277.750000,89,100030,-310
7630,20200102150000,283.650000,75,101000,-390
7690,20200102150000,286.850000,61,102770,50
7015,20200102180000,280.250000,94,101610,-870
7110,20200102180000,283.850000,92,100800,-850
7149,20200102180000,281.750000,95,101410,-520
7190,20200102180000,273.350000,100,101050,-440
7481,20200102180000,274.350000,96,100050,-340
7630,20200102180000,281.750000,83,101060,-320
