,t,u,pres,tend24,consumption
20200102060000,276,92,101512,-224,56619
20200102120000,280,87,101425,-348,70442
20200102180000,279,90,101254,-478,68735
20200103060000,279,90,101110,-402,55545
20200103120000,282,83,101275,-150,67167
20200103180000,281,83,101538,284,65786
20200104060000,277,90,101898,788,53965
20200104120000,282,71,101988,712,63455
20200104180000,280,77,102041,502,62430
20200105060000,277,86,102055,157,53987
20200105120000,280,83,101998,10,62803
20200105180000,278,88,101904,-137,61853
20200106060000,275,89,101505,-550,62357
20200106120000,281,76,101265,-732,75201
20200106180000,279,84,101277,-627,72479
20200107060000,278,91,101472,-32,61134
20200107120000,282,85,101535,270,73603
20200107180000,281,88,101467,190,71076
20200108060000,280,92,101400,-72,57895
20200108120000,283,82,101454,-81,70687
20200108180000,283,87,101365,-101,67701
20200109060000,282,84,100748,-651,55896
20200109120000,285,73,100450,-1004,67836
20200109180000,283,77,100164,-1201,65809
20200110060000,281,79,100727,-21,56193
20200110120000,282,76,101184,734,69816
20200110180000,280,82,101561,1397,68794
20200111060000,278,84,101807,1080,55797
20200111120000,282,67,101754,570,64640
20200111180000,279,79,101602,41,62817
20200112060000,276,87,101354,-452,55130
20200112120000,281,73,101357,-397,63806
20200112180000,280,81,101322,-280,61007
20200113060000,277,90,100898,-455,59580
20200113120000,280,80,100558,-798,73114
20200113180000,281,82,100161,-1161,70668
20200114060000,281,76,99924,-974,59885
20200114120000,285,69,99961,-597,71524
20200114180000,284,72,100021,-140,68775
20200115060000,282,73,100174,250,58007
20200115120000,284,69,100462,501,70382
20200115180000,282,78,100871,850,67727
20200116060000,279,88,101084,910,59298
20200116120000,285,74,100961,498,68844
20200116180000,283,77,100792,-78,64689
20200117060000,281,79,100608,-475,56077
20200117120000,282,77,100742,-218,69356
20200117180000,280,84,100974,181,67415
20200118060000,276,91,101285,677,56618
20200118120000,281,69,101278,535,65956
20200118180000,278,80,101298,324,63336
20200119060000,275,85,101834,548,57577
20200119120000,280,64,102181,902,66715
20200119180000,278,66,102442,1144,63769
20200120060000,275,83,102718,884,65460
20200120120000,279,69,102802,621,78286
20200120180000,278,75,102690,247,75621
20200121060000,275,84,102521,-197,68289
20200121120000,279,71,102475,-327,80481
20200121180000,277,76,102245,-444,76039
20200122060000,274,88,101971,-550,68905
20200122120000,278,81,101924,-551,81793
20200122180000,277,83,101717,-528,76083
20200123060000,276,86,101460,-511,67740
20200123120000,278,84,101357,-567,80776
20200123180000,278,85,101144,-572,77180
20200124060000,275,90,100972,-487,67246
20200124120000,279,81,100952,-404,79844
20200124180000,278,85,100824,-320,73921
20200125060000,276,94,100695,-277,61520
20200125120000,280,83,100697,-255,71080
20200125180000,280,86,100535,-288,65447
20200126060000,278,92,100405,-290,55732
20200126120000,281,88,100422,-274,65321
20200126180000,281,88,100330,-205,60347
20200127060000,279,91,100040,-365,58570
20200127120000,282,81,99800,-622,74072
20200127180000,282,82,99405,-924,71172
20200128060000,280,81,99104,-935,60372
20200128120000,282,68,99454,-345,73502
20200128180000,280,79,99590,184,70779
20200129060000,279,79,99967,862,60879
20200129120000,283,68,100175,721,72778
20200129180000,281,78,100292,702,67867
20200130060000,279,87,100130,162,60535
20200130120000,283,83,100008,-167,72113
20200130180000,284,91,99935,-357,67173
20200131060000,283,91,100197,67,54994
20200131120000,287,82,100284,275,65872
20200131180000,286,86,100148,212,60613
20200201060000,283,89,99832,-364,48283
20200201120000,286,83,100062,-221,58604
20200201180000,285,83,100221,72,54088
20200202060000,283,92,100244,411,45612
20200202120000,287,82,100308,245,55865
20200202180000,286,86,100464,242,51373
20200203060000,283,90,100677,432,49849
20200203120000,287,75,100731,422,63658
20200203180000,284,83,100390,-74,58829
20200204060000,282,75,100601,-75,54609
20200204120000,283,58,100831,100,67750
20200204180000,280,69,101267,877,65976
20200205060000,278,77,101838,1237,58946
20200205120000,282,62,101998,1167,71828
20200205180000,280,69,101912,645,66050
20200206060000,274,85,101618,-220,63544
20200206120000,282,54,101557,-441,73424
20200206180000,280,63,101374,-538,65507
20200207060000,275,81,101078,-540,64389
20200207120000,282,70,100952,-604,73374
20200207180000,280,78,100791,-582,65006
20200208060000,278,85,100834,-244,54482
20200208120000,284,69,100932,-20,63486
20200208180000,282,79,100934,142,57735
20200209060000,280,84,100674,-160,50693
20200209120000,285,68,100350,-582,60240
20200209180000,285,77,99910,-1024,55515
20200210060000,284,72,99891,-782,53696
20200210120000,287,57,100140,-265,66488
20200210180000,285,67,99835,-74,63122
20200211060000,281,68,100190,298,56556
20200211120000,284,57,100332,192,68117
20200211180000,282,68,100454,618,65298
20200212060000,278,77,100701,511,59935
20200212120000,283,59,100795,462,69589
20200212180000,281,66,100664,210,64149
20200213060000,278,75,99848,-852,60395
20200213120000,284,67,99572,-1222,72370
20200213180000,283,76,99690,-974,66762
20200214060000,280,83,100650,801,57765
20200214120000,284,70,100971,1398,67761
20200214180000,283,79,101005,1315,60471
20200215060000,278,88,100854,204,53277
20200215120000,285,71,100687,-284,59649
20200215180000,285,72,100500,-505,53860
20200216060000,284,77,100120,-734,47496
20200216120000,287,71,100000,-687,55588
20200216180000,285,74,100134,-365,50564
20200217060000,282,81,100471,351,51697
20200217120000,283,79,100744,744,66137
20200217180000,282,84,100957,822,61661
20200218060000,278,87,101382,911,58123
20200218120000,283,66,101462,718,67693
20200218180000,282,71,101295,338,61861
20200219060000,279,83,101120,-262,58287
20200219120000,283,68,101261,-201,69799
20200219180000,281,79,101122,-172,64053
20200220060000,279,83,100737,-382,57673
20200220120000,284,70,100672,-588,67710
20200220180000,283,69,100761,-361,61613
20200221060000,277,82,101470,732,59313
20200221120000,283,67,101611,938,68363
20200221180000,281,69,101520,758,61243
20200222060000,277,83,101465,-4,55517
20200222120000,285,67,101561,-50,60120
20200222180000,285,68,101585,65,53480
20200223060000,280,90,101308,-157,48415
20200223120000,286,74,101232,-328,56489
20200223180000,286,75,101248,-337,50011
20200224060000,280,91,101052,-255,51977
20200224120000,286,76,100665,-567,64422
20200224180000,286,74,100204,-1044,57767
20200225060000,280,83,99801,-1251,53238
20200225120000,283,73,99580,-1085,65568
20200225180000,281,77,99280,-924,61333
20200226060000,278,74,99251,-550,59295
20200226120000,280,61,99604,24,72184
20200226180000,279,71,99877,597,66376
20200227060000,278,81,99317,65,61054
20200227120000,281,74,98952,-651,74359
20200227180000,280,76,99568,-308,67630
20200228060000,277,87,100432,1115,62957
20200228120000,282,68,100340,1387,72042
20200228180000,283,76,99888,320,64968
20200229060000,281,77,98818,-1614,52216
20200229120000,284,67,98700,-1640,61690
20200229180000,282,74,98898,-990,57553
20200301060000,280,80,98787,-31,50291
20200301120000,284,66,98647,-52,59776
20200301180000,282,73,98538,-360,55032
20200302060000,279,89,97764,-1022,56282
20200302120000,282,84,97820,-827,71052
20200302180000,280,78,98365,-172,65324
20200303060000,276,85,99100,1335,61603
20200303120000,281,68,99095,1275,72500
20200303180000,280,74,99430,1064,65497
20200304060000,277,88,99937,837,62016
20200304120000,282,74,99930,834,72690
20200304180000,282,80,99678,248,66349
20200305060000,281,89,98702,-1234,56725
20200305120000,282,91,98400,-1530,70688
20200305180000,282,84,98214,-1464,66503
20200306060000,279,83,98735,32,60443
20200306120000,281,73,99137,737,71867
20200306180000,281,72,99600,1385,64705
20200307060000,277,84,100415,1680,57019
20200307120000,283,64,100700,1562,63220
20200307180000,282,73,100748,1148,56667
20200308060000,279,81,100484,68,51885
20200308120000,284,65,100372,-327,58904
20200308180000,283,72,100184,-564,53594
20200309060000,279,85,100278,-205,56511
20200309120000,283,69,100452,80,67916
20200309180000,282,77,100564,380,62458
20200310060000,281,86,100307,28,56851
20200310120000,285,80,100371,-81,68038
20200310180000,285,82,100387,-177,61639
20200311060000,283,89,100564,257,52667
20200311120000,288,76,100620,248,62619
20200311180000,287,78,100448,61,55463
20200312060000,283,82,100411,-152,51032
20200312120000,285,70,100561,-58,62151
20200312180000,284,72,100475,27,56915
20200313060000,280,81,100765,354,54801
20200313120000,284,58,100841,280,63047
20200313180000,282,67,100651,175,55832
20200314060000,278,89,100587,-178,50664
20200314120000,284,70,100650,-191,56917
20200314180000,283,74,100567,-84,50838
20200315060000,279,88,100262,-324,47193
20200315120000,286,62,100142,-507,51632
20200315180000,285,63,100037,-530,45089
20200316060000,279,84,100450,187,50508
20200316120000,287,57,100797,654,60430
20200316180000,285,65,101052,1015,54838
20200317060000,280,83,101571,1121,51136
20200317120000,287,61,101702,905,57131
20200317180000,286,64,101601,548,48885
20200318060000,279,88,101500,-71,47427
20200318120000,289,60,101397,-305,52845
20200318180000,287,61,101151,-450,45246
20200319060000,280,85,101021,-478,44662
20200319120000,290,54,100957,-440,50238
20200319180000,288,58,100742,-408,42795
20200320060000,282,82,100737,-284,41955
20200320120000,288,62,100740,-217,49256
20200320180000,285,68,100638,-104,43320
20200321060000,280,79,100484,-252,40046
20200321120000,284,69,100405,-334,47904
20200321180000,283,72,100297,-341,43739
20200322060000,278,76,100507,22,40898
20200322120000,284,61,100604,198,49616
20200322180000,283,56,100658,361,42667
20200323060000,278,72,100991,484,46059
20200323120000,284,50,101058,454,52590
20200323180000,283,51,101018,360,45562
20200324060000,276,66,101164,172,47900
20200324120000,285,40,101098,40,53536
20200324180000,283,47,100867,-151,46281
20200325060000,275,61,100804,-360,49969
20200325120000,284,39,100588,-510,54125
20200325180000,283,36,100328,-538,46377
20200326060000,275,65,100190,-614,50090
20200326120000,283,42,100205,-382,54905
20200326180000,281,51,100191,-137,48246
20200327060000,276,77,100274,84,50117
20200327120000,284,47,100300,94,53684
20200327180000,284,54,100290,98,45866
20200328060000,278,81,100511,237,45952
20200328120000,287,54,100564,264,48108
20200328180000,286,59,100561,271,41876
20200329060000,279,71,100865,354,41195
20200329120000,282,55,100981,417,49628
20200329180000,280,66,101040,478,46107
20200330060000,276,70,101058,192,50514
20200330120000,281,56,101005,24,60015
20200330180000,280,58,100848,-191,51276
20200331060000,276,83,100934,-124,51630
20200331120000,283,53,100941,-64,57417
20200331180000,283,48,100798,-50,47759
20200401060000,277,71,100728,-205,49369
20200401120000,284,43,100550,-391,56471
20200401180000,283,50,100332,-465,46498
20200402060000,276,80,100235,-492,49336
20200402120000,285,47,100190,-360,55872
20200402180000,284,53,100087,-245,46788
20200403060000,277,82,100334,98,47817
20200403120000,286,51,100458,268,54122
20200403180000,285,51,100458,371,45846
